Epoch,Step,Train,RMSD
0,1,1112.151,
,2,635.41,
,3,727.551,
,4,538.964,
,5,467.099,
,6,451.796,
,7,340.788,
,8,308.556,
,9,312.835,
,10,267.759,
,11,418.216,
,12,310.628,
,13,265.031,
,14,303.087,2.838
1,1,245.961,
,2,253.453,
,3,276.643,
,4,302.83,
,5,228.208,
,6,263.46,
,7,311.782,
,8,226.867,
,9,227.906,
,10,278.694,
,11,259.075,
,12,260.973,
,13,302.17,
,14,217.54,2.581
2,1,212.88,
,2,243.875,
,3,297.971,
,4,253.502,
,5,194.879,
,6,244.75,
,7,242.648,
,8,231.01,
,9,205.546,
,10,197.694,
,11,176.674,
,12,203.96,
,13,183.278,
,14,323.433,2.57
3,1,172.14,
,2,164.935,
,3,202.061,
,4,242.805,
,5,272.189,
,6,255.938,
,7,268.54,
,8,204.72,
,9,219.663,
,10,179.389,
,11,177.084,
,12,195.055,
,13,174.565,
,14,200.009,2.51
4,1,183.351,
,2,234.327,
,3,176.521,
,4,168.17,
,5,240.103,
,6,192.596,
,7,172.072,
,8,231.273,
,9,221.48,
,10,219.177,
,11,148.622,
,12,280.193,
,13,208.963,
,14,143.404,2.448
5,1,164.219,
,2,199.596,
,3,259.855,
,4,196.833,
,5,151.722,
,6,176.751,
,7,165.031,
,8,282.228,
,9,168.309,
,10,169.206,
,11,162.871,
,12,209.305,
,13,178.349,
,14,178.301,2.475
6,1,198.809,
,2,192.27,
,3,170.742,
,4,164.227,
