Batch number,dataset_10,dataset_20,dataset_40,dataset_75,dataset_100,base antigen,l1 loss,naive,diff no reg,diff reg
1,19.163,17.907,18.794,19.705,16.918,18.761,18.21,18.876,17.56,17.521
2,15.741,16.147,16.032,16.186,16.074,16.021,15.953,16.127,16.003,16.038
3,14.486,14.74,15.031,14.757,14.648,14.743,14.417,14.262,14.48,14.249
4,13.476,13.136,13.319,14.111,13.98,14.492,13.937,14.246,14.032,14.179
5,13.483,13.783,14.25,13.333,14.042,14.07,13.568,13.999,13.912,13.69
6,13.127,13.921,13.218,13.208,12.211,13.715,13.555,13.447,13.494,13.361
7,12.913,13.058,12.714,13.278,13.481,12.623,12.675,13.124,12.815,12.505
8,12.726,12.854,13.68,13.315,13.524,12.652,12.713,12.756,12.804,12.69
9,12.802,13.037,12.904,12.756,12.915,12.466,12.928,12.595,12.6,12.682
10,12.381,12.164,12.017,12.826,12.387,12.697,12.539,12.802,12.856,12.909
11,,11.172,11.944,12.274,12.105,12.958,12.8,12.678,12.891,13
12,,12.439,12.561,12.795,12.384,12.795,12.859,12.5,12.574,12.393
13,,11.781,12.471,11.482,12.519,12.732,12.395,12.341,12.167,11.955
14,,11.057,11.412,11.632,11.847,11.796,11.505,11.753,11.745,11.602
15,,10.563,11.918,11.4,11.758,11.091,11.08,11.014,10.892,10.899
16,,11.026,11.119,11.784,11.652,11.221,11.116,11.33,11.202,11.002
17,,10.429,11.737,11.656,12.837,11.791,11.857,11.765,11.63,11.576
18,,11.313,11.851,11.325,11.406,12.112,11.951,12.776,11.922,11.924
19,,10.651,11.042,11.791,11.212,11.208,11.426,11.267,10.981,11.133
20,,,11.031,11.544,11.325,12.219,12.793,12.358,12.478,12.41
21,,,11.113,10.896,10.596,11.086,11.235,11.357,11.15,11.405
22,,,10.96,11.329,10.503,10.429,10.282,10.507,10.161,10.374
23,,,10.49,11.603,10.319,10.594,10.647,10.838,10.353,10.479
24,,,10.599,10.761,10.357,10.673,10.864,10.919,10.438,11.316
25,,,10.933,10.815,10.73,10.835,10.926,11.176,10.884,11.047
26,,,10.564,10.544,10.489,11.163,11.018,11.383,11.151,11.02
27,,,10.244,10.5,10.392,10.49,10.4,11.026,10.533,10.615
28,,,10.993,10.195,9.931,11.228,10.989,11.491,11.191,11.228
29,,,10.432,10.799,9.9,10.518,10.724,11,10.69,10.699
30,,,9.966,10.287,9.503,10.573,10.235,10.604,10.314,10.361
31,,,10.127,9.458,10.034,10.351,10.307,10.516,10.305,10.292
32,,,10.459,10.639,9.853,9.976,10.103,10.41,10.005,10.044
33,,,9.902,9.8,10.236,10.194,10.211,10.465,10.116,10.07
34,,,10.441,10.142,10.027,10.482,10.549,10.617,10.713,10.803
35,,,9.799,10.683,10.744,9.79,9.811,9.982,9.622,9.703
36,,,10.275,9.819,9.518,9.284,9.269,9.609,9.494,9.212
37,,,9.839,11.24,9.482,9.679,9.771,10.02,9.838,9.616
38,,,10.068,9.749,9.682,9.849,9.783,10.07,9.779,9.925
39,,,9.785,9.704,8.777,9.813,9.654,10.078,9.892,9.858
40,,,9.175,10.215,9.923,9.671,9.746,9.986,9.701,9.55
41,,,9.481,10.951,9.262,9.439,9.719,10.007,9.495,9.513
42,,,9.728,9.898,9.895,10.178,10.115,10.594,10.333,10.051
43,,,9.038,9.205,9.937,9.995,9.973,10.02,9.895,9.991
44,,,9.844,9.971,8.979,9.702,9.585,10.13,10.004,9.73
45,,,9.577,9.158,9.453,9.185,9.058,9.558,9.394,9.311
46,,,9.532,9.898,9.394,9.423,9.615,10.1,9.649,9.719
47,,,9.569,9.693,10.104,9.392,9.289,9.902,9.594,9.474
48,,,9.113,9.661,9.331,9.404,9.246,9.775,9.512,9.562
49,,,9.221,9.116,9.691,9.706,9.544,9.728,9.55,9.494
50,,,9.798,9.763,10.614,8.627,8.699,9.214,8.904,8.966
